speed,time
"7,36",2021-08-06 11:40:00
"7,36",2021-08-06 11:40:00
"7,36",2021-08-06 11:40:00
"7,36",2021-08-06 11:40:00
"7,21",2021-08-06 11:40:00
"7,28",2021-08-06 11:40:00
"7,21",2021-08-06 11:40:00
"7,14",2021-08-06 11:40:00
"7,2",2021-08-06 11:40:00
"7,2",2021-08-06 11:40:00
"7,17",2021-08-06 11:40:00
"7,09",2021-08-06 11:40:00
"7,16",2021-08-06 11:40:00
"7,2",2021-08-06 11:40:00
"7,1",2021-08-06 11:40:00
"7,14",2021-08-06 11:40:00
"7,1",2021-08-06 11:40:00
"7,15",2021-08-06 11:40:00
"7,17",2021-08-06 11:40:00
"7,31",2021-08-06 11:40:00
"7,32",2021-08-06 11:40:00
"7,25",2021-08-06 11:40:00
"7,34",2021-08-06 11:40:00
"7,34",2021-08-06 11:40:00
"7,4",2021-08-06 11:40:00
"7,4",2021-08-06 11:40:00
"7,42",2021-08-06 11:40:00
"7,45",2021-08-06 11:40:00
"7,42",2021-08-06 11:40:00
"7,44",2021-08-06 11:40:00
"7,53",2021-08-06 11:40:00
"7,58",2021-08-06 11:40:00
"7,6",2021-08-06 11:40:00
"7,58",2021-08-06 11:40:00
"7,63",2021-08-06 11:40:00
"7,62",2021-08-06 11:40:00
"7,61",2021-08-06 11:40:00
"7,63",2021-08-06 11:40:00
"7,68",2021-08-06 11:40:00
"7,7",2021-08-06 11:40:00
"7,72",2021-08-06 11:40:00
"7,69",2021-08-06 11:40:00
"7,75",2021-08-06 11:40:00
"7,77",2021-08-06 11:40:00
"7,77",2021-08-06 11:40:00
"7,72",2021-08-06 11:40:00
"7,85",2021-08-06 11:40:00
"7,78",2021-08-06 11:40:00
"7,79",2021-08-06 11:40:00
"7,79",2021-08-06 11:40:00
"7,84",2021-08-06 11:40:00
"7,89",2021-08-06 11:40:00
"7,81",2021-08-06 11:40:00
"7,86",2021-08-06 11:40:00
"7,85",2021-08-06 11:40:00
"7,92",2021-08-06 11:40:00
"7,83",2021-08-06 11:40:00
"7,92",2021-08-06 11:40:00
"7,93",2021-08-06 11:40:00
"7,84",2021-08-06 11:40:00
"7,94",2021-08-06 11:40:00
"7,94",2021-08-06 11:40:00
"7,94",2021-08-06 11:40:00
"7,98",2021-08-06 11:40:00
"7,91",2021-08-06 11:40:00
"7,93",2021-08-06 11:40:00
"8,04",2021-08-06 11:40:00
"7,88",2021-08-06 11:40:00
"7,96",2021-08-06 11:40:00
"7,95",2021-08-06 11:40:00
"8,05",2021-08-06 11:40:00
"8,02",2021-08-06 11:40:00
"8,12",2021-08-06 11:40:00
"8,08",2021-08-06 11:40:00
"8,08",2021-08-06 11:40:00
"8,08",2021-08-06 11:40:00
"8,15",2021-08-06 11:40:00
"8,08",2021-08-06 11:40:00
"8,3",2021-08-06 11:40:00
"8,23",2021-08-06 11:40:00
"8,21",2021-08-06 11:40:00
"8,35",2021-08-06 11:40:00
"8,37",2021-08-06 11:40:00
"8,41",2021-08-06 11:40:00
